ShowName,Attendance,NumPerformances,WeeksPerformed,GeniusID,AlbumTitle,UniquenessScore,TotalLyricCount
La Cage Aux Folles '10,347661,433,56,330514,La Cage Aux Folles (Original Cast Recording) by Jerry Herman,43,3676
The Scottsboro Boys,52266,49,10,829425,The Scottsboro Boys (Original Off-Broadway Cast Recording) by Original Off Broadway Cast of The Scottsboro Boys,51,4761
Women On The Verge Of A Nervous Breakdown,73822,69,13,146724,Women on the Verge of a Nervous Breakdown (Original Broadway Cast Recording) by David Yazbek,47,5540
Elf,91840,57,9,609132,Elf: The Musical (Original Broadway Cast Recording) by The Original Broadway Company of Elf the Musical,51,735
How To Succeed In Business Without Really Trying '11,628957,473,65,336690,How to Succeed in Business Without Really Trying (2011 Broadway Cast Recording) by Frank Loesser,57,4641
The Book Of Mormon,2497551,2258,286,123575,"The Book of Mormon (Original Broadway Cast Recording) by Trey Parker, Matt Stone, Robert Lopez",41,8000
Anything Goes '11,515954,521,70,408560,Anything Goes (2011 Broadway Cast Recording) by 2011 Broadway Cast of Anything Goes,51,4103
Catch Me If You Can,242671,166,26,161428,Catch Me If You Can (Original Broadway Cast Recording) by Original Broadway Cast of Catch Me If You Can,51,6118
Sister Act,721574,561,75,456926,Sister Act (Music from the Original Motion Picture Soundtrack) by Sister Act Cast,28,3236
Wonderland,84646,33,8,324571,Wonderland: A New Alice (Original Broadway Cast) by Frank Wildhorn,57,4555
Hair '11,69713,67,10,309169,Hairspray Live! (NBC Television Event Original Soundtrack) by Original Television Cast of Hairspray Live!,46,7430
Follies '11,216360,152,25,160749,Follies (Original Broadway Cast) by Original Broadway Cast of Follies,51,4742
Godspell,160892,264,37,158820,Godspell (New Broadway Cast Recording) by Stephen Schwartz,32,4238
Bonnie And Clyde,56138,36,9,228696,Bonnie and Clyde (Original Broadway Cast Recording) by Frank Wildhorn,56,4914
Lysistrata Jones,39217,30,9,396324,Lysistrata Jones (Original Broadway Cast Recording) by Lewis Flinn,48,265
On A Clear Day You Can See Forever,88565,57,12,687735,On a Clear Day You Can See Forever (Revival) by On a Clear Day You Can See Forever Revival Cast,51,6162
Jesus Christ Superstar '12,141223,116,18,30467,Jesus Christ Superstar – A Rock Opera by Jesus Christ Superstar Original Studio Cast,47,6391
Evita,474853,337,46,29866,Evita (Original Cast Recording) by Original Broadway Cast of Evita,52,8448
Newsies,1156757,1004,128,325063,Newsies (Original Broadway Cast Recording) by Newsies Original Broadway Cast,54,5301
Bring It On The Musical,180680,171,25,329477,Bring It On: The Musical (Original Broadway Cast Recording) by Bring it On: The Musical - Original Broadway Cast,47,7288
Chaplin,118148,135,20,369279,Chaplin: The Musical (Original Broadway Cast Recording) by Original Broadway Cast of Chaplin: The Musical,49,256
Annie '12,677853,487,66,854025,Annie Get Your Gun (Broadway Original Cast Recording) (2000 Release) by Original Broadway Cast of Annie Get Your Gun,37,4233
The Mystery Of Edwin Drood '12,122792,136,21,289291,The Mystery of Edwin Drood (Original Broadway Cast Recording) by Original Broadway Cast of The Mystery of Edwin Drood,57,5152
Elf '12,85472,74,9,609132,Elf: The Musical (Original Broadway Cast Recording) by The Original Broadway Company of Elf the Musical,51,735
Cinderella,1039923,769,102,801290,Cinderella (Soundtrack From The Amazon Original Movie) by Cinderella Original Motion Picture Cast,42,4587
Hands On A Hardbody,41856,28,8,549613,Hands on a Hardbody: Original Broadway Cast Recording by Original Broadway Cast of Hands on a Hardbody,50,7445
Kinky Boots,1779797,1402,181,325077,Kinky Boots (Original Broadway Cast Recording) by Original Broadway Cast of Kinky Boots,44,5334
Matilda,1885281,1394,180,324966,Matilda The Musical (Original London Cast Recording) by Matilda the Musical Original Cast,42,6598
Pippin,659865,709,94,156125,Pippin (1972 Original Broadway Cast Recording) by Stephen Schwartz,50,3596
Jekyll & Hyde '13,39385,30,6,159798,Jekyll & Hyde: The Complete Work (1994 Concept Cast) by Frank Wildhorn,53,9279
First Date,159061,174,26,165119,First Date (Original Broadway Cast Album) by Original Broadway Cast of First Date,59,4638
Big Fish,146730,98,17,161420,Big Fish (Original Broadway Cast Recording) by Big Fish Original Broadway Cast,47,6084
A Gentleman'S Guide To Love And Murder,741199,896,116,161435,A Gentleman's Guide to Love and Murder (Original Broadway Cast) by A Gentleman's Guide to Love and Murder Ensemble,54,7719
The Bridges Of Madison County,101215,100,18,309913,The Bridges of Madison County (Original Broadway Cast Recording) by Jason Robert Brown,50,5256
Aladdin,1753035,1008,129,803195,Aladdín (Banda Sonora Original en Castellano) by Walt Disney Records,57,2362
Les Miserables '14,1176491,1000,129,151176,Les Misérables: The Complete Symphonic Recording by Claude-Michel Schönberg,51,14874
If/Then,453766,401,54,351046,If/Then: A New Musical (Original Broadway Cast Recording) by Original Broadway Cast of If/Then,48,7153
Bullets Over Broadway,226497,156,24,1017257,Bullets Over Broadway (Original Broadway Cast Recording) by Original Broadway Cast of Bullets Over Broadway,41,786
Cabaret '14,350148,388,54,330512,Cabaret (Original Broadway Cast Recording) by Original Broadway Cast of Cabaret,47,4292
Hedwig And The Angry Inch,459696,507,77,88580,Hedwig and the Angry Inch (Original Cast Recording) by Stephen Trask,50,2960
Violet,94762,128,20,325027,Violet (Original Broadway Cast Recording) by Original Broadway Cast of Violet,52,10950
The Last Ship,131411,105,17,326734,The Last Ship (Original Broadway Cast Recording) by Sting,50,7483
Side Show 2014,73844,56,10,705155,"Side Show (Original 2014 Broadway Cast Recording) by Henry Krieger, 2014 Broadway Cast",58,1864
Honeymoon In Vegas,117945,93,20,309912,Honeymoon in Vegas: The Musical (Original Broadway Cast Recording) by Original Broadway Cast of Honeymoon in Vegas,52,6022
On The Twentieth Century,123479,144,23,668763,"On the Twentieth Century -- Original Broadway Recording by Cy Coleman, On the Twentieth Century Original Broadway Cast",45,3991
An American In Paris,799029,559,75,161241,An American in Paris (Original Broadway Cast Recording) by Original Broadway Cast of An American in Paris,46,1683
Finding Neverland,713876,557,75,350764,Finding Neverland (Original Broadway Cast Recording) by Original Broadway Cast of Finding Neverland,49,5495
The King And I 2015,494187,499,68,411879,The King and I (The 2015 Broadway Cast Recording) by 2015 Broadway Cast of The King and I,44,4185
Gigi,96860,86,14,321848,Gigi (Original Broadway Cast Recording) by Frederick Loewe,50,1694
It Shoulda Been You,122504,135,21,436851,"It Shoulda Been You  (Original Broadway Cast Recording) by Barbara Anselmi, Brian Hargrove",57,5198
Doctor Zhivago,54370,23,7,500223,Doctor Zhivago - Original Broadway Cast Recording by Doctor Zhivago - Original Broadway Cast,60,3872
Fun Home,394799,551,73,142109,Fun Home (Original Broadway Cast Recording) by Original Broadway Cast of Fun Home,52,7604
Something Rotten!,709531,548,73,134812,Something Rotten! (Original Broadway Cast Recording) by Various Artists,48,7192
Amazing Grace,92670,116,18,328963,Amazing Grace (Original Broadway Cast Recording) by Christopher Smith,56,3675
